,DateTime,WindSpeed,PowerGenerated
293,2017-01-04 01:15:00,7.490010000000001,11040
294,2017-01-04 01:30:00,7.80773,14160
295,2017-01-04 01:45:00,7.87407,14480
296,2017-01-04 02:00:00,7.940410000000001,15280
297,2017-01-04 02:15:00,8.006739999999999,16080
298,2017-01-04 02:30:00,8.073080000000001,17440
299,2017-01-04 02:45:00,7.999510000000001,18320
300,2017-01-04 03:00:00,7.92593,18320
301,2017-01-04 03:15:00,7.85235,14400
302,2017-01-04 03:30:00,7.77878,10000
303,2017-01-04 03:45:00,7.6399,6880
304,2017-01-04 04:00:00,7.50103,5440
305,2017-01-04 04:15:00,7.36215,5520
306,2017-01-04 04:30:00,7.22328,6080
307,2017-01-04 04:45:00,7.057589999999999,5360
308,2017-01-04 05:00:00,6.8919,4320
309,2017-01-04 05:15:00,6.72622,2880
310,2017-01-04 05:30:00,6.56053,1920
311,2017-01-04 05:45:00,6.39366,1360
312,2017-01-04 06:00:00,6.2268,1680
313,2017-01-04 06:15:00,6.05994,1920
314,2017-01-04 06:30:00,5.89307,2000
315,2017-01-04 06:45:00,5.7077800000000005,1760
316,2017-01-04 07:00:00,5.522480000000001,2400
317,2017-01-04 07:15:00,5.33718,3280
318,2017-01-04 07:30:00,5.15189,3520
319,2017-01-04 07:45:00,4.77234,3120
320,2017-01-04 08:00:00,4.39279,2560
321,2017-01-04 08:15:00,4.013240000000001,2960
322,2017-01-04 08:30:00,3.63369,3120
323,2017-01-04 08:45:00,3.27129,2640
324,2017-01-04 09:00:00,2.90888,1520
325,2017-01-04 09:15:00,2.54648,400
326,2017-01-04 09:30:00,2.18408,0
327,2017-01-04 09:45:00,2.41067,0
328,2017-01-04 10:00:00,2.63726,0
329,2017-01-04 10:15:00,2.86385,0
330,2017-01-04 10:30:00,3.09045,0
331,2017-01-04 10:45:00,3.08565,0
332,2017-01-04 11:00:00,3.08085,0
333,2017-01-04 11:15:00,3.07605,0
334,2017-01-04 11:30:00,3.07125,0
335,2017-01-04 11:45:00,2.93213,0
336,2017-01-04 12:00:00,2.7930200000000003,0
337,2017-01-04 12:15:00,2.6539,0
338,2017-01-04 12:30:00,2.51478,0
